"ASN","abuser_score","abuser_rank","active","type","Entity"
"612","0","Very Low","False","","US | PRECISIONTECH - PRECISION TECHNOLOGY Inc,US"
"3396","0","Very Low","False","","US | EGG - T G & A"
"3502","0","Very Low","False","","US | INTNET"
"3563","0","Very Low","False","","US | PILOT-ASN - Pilot Network Services, Inc,US"
"3722","0","Very Low","False","","Tranquil Hosting, Inc."
"3900","0","Very Low","False","","YHC Corporation"
"3904","0","Very Low","False","","US | ASTHOUGHTPRT - ThoughtPort inc., US"
"4250","0","Very Low","False","","ALENT-ASN-1 - Alentus Corporation, US"
"4323","0","Very Low","False","","TWTC - tw telecom holdings, inc., US"
"4640","0","Very Low","False","","AT | The Internetworking Corporation, Hong Kong"
"5041","0","Very Low","False","","AS-CLOUDKLEYER - cloudKleyer Canada Corp., CA"
"5784","0","Very Low","False","","US | GETNET - Getnet International, US"
"6188","0","Very Low","False","","VPS Datacenter, LLC"
"6218","0","Very Low","False","","US | MIBX - MIBX, Inc., US"
"6560","0","Very Low","False","","ZA | GEM Internet Company (Pty) LTD"
"6603","0","Very Low","False","","US | CottonWood CyberVentures"
"6659","0","Very Low","False","hosting","PlusServer GmbH"
"7052","0","Very Low","False","","US | Hi-Tech Services, Inc."
"7156","0","Very Low","False","","BR | AGATE2 - Agate Internet Services, Inc.,US"
"7158","0","Very Low","False","","US | NETFEED-AS - NetEx Online Services, US"
"7259","0","Very Low","False","","US | net.Genesis Corp"
"7289","0","Very Low","False","","US | Platinum Internet Group"
"7309","0","Very Low","False","","US | The Virtual Marketing Corporation"
"7337","0","Very Low","False","","US | Southern NJ Internet Providers"
"7496","0","Very Low","False","","ARQ GROUP ENTERPRISE PTY LTD"
"7544","0","Very Low","False","","US | COMCLARK-IXG ComClark Network & Technology Corp,PH"
"7598","0","Very Low","False","","Websense Hosted Security - AsiaPac region"
"7655","0","Very Low","False","","US | TWNAP-ADMIN-AS-AP Peering AS,TW"
"7827","0","Very Low","False","","US | American Business Information"
"7880","0","Very Low","False","","AT | NEURAL-AS - Neural Applications,US"
"7907","0","Very Low","False","","US | Networldtron Corp"
"7918","0","Very Low","False","","US | Larkom"
"8556","0","Very Low","False","","Levantis Hosting GmbH"
"9412","0","Very Low","False","","Hostworks Content Delivery System"
"10114","0","Very Low","False","","CN | ASIANET-AP PT.Medialintas Antar Buana, ID"
"10462","0","Very Low","False","","US | Shadow Infromation Services"
"10532","0","Very Low","False","","Rackspace Hosting"
"10741","0","Very Low","False","","CA | WAMNET - Wam Net Enterprises Inc.,US"
"10765","0","Very Low","False","","CLOUDNET-AS - CloudNet, US"
"11274","0","Very Low","False","","Adhost Internet Advertising, LLC"
"11282","0","Very Low","False","","SERVERYOU - SERVERYOU INC, US"
"11588","0","Very Low","False","","HIGHWINDS - Highwinds Network Group, Inc., US"
"11754","0","Very Low","False","","US | ORANGE COUNTY NETWORKS, LLC"
"11854","0","Very Low","False","","US | Internap Hholding LLC"
"12506","0","Very Low","False","","NL | Inspiring Networks BV"
"12617","0","Very Low","False","","Solido Hosting A/S"
"12720","0","Very Low","False","","BG | BULGARIAONLINE , BG"
"13537","0","Very Low","False","","US | MEGACOLO - Mega Colocation, Inc., US"
"13557","0","Very Low","False","","US | NETIN - NetIn.com, Inc. Dallas Texas,US"
"13647","0","Very Low","False","","Tranquil Hosting, Inc."
"14029","0","Very Low","False","","ZW | DC Econet"
"14141","0","Very Low","False","","TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C., US"
"14179","0","Very Low","False","","AU | Interactive Gaming and Wagering N.V."
"14202","0","Very Low","False","","US | [Name not set and lost]"
"14442","0","Very Low","False","","Media-Hosts Inc."
"14572","0","Very Low","False","","US | N2V - N2V, INC.,US"
"14986","0","Very Low","False","","Ultra Hosting"
"15003","0","Very Low","False","","NOBIS-TECH - Nobis Technology Group, LLC, US"
"15189","0","Very Low","False","","HostVentures.com, Inc."
"15216","0","Very Low","False","","Hostway Corporation"
"15734","0","Very Low","False","","IDH, ES"
"16535","0","Very Low","False","","Echostar Holding Purchasing Corporation"
"16862","0","Very Low","False","","Kansas Hosting, LLC"
"17019","0","Very Low","False","","JCHost Internet Services, LLC"
"17048","0","Very Low","False","","US | AWKNET-LLC"
