"ASN","abuser_score","abuser_rank","active","type","Entity"
"174","0.0001","Very Low","True","isp","Cogent Communications"
"612","0","Very Low","False","","US | PRECISIONTECH - PRECISION TECHNOLOGY Inc,US"
"984","0.0001","Very Low","True","hosting","OCTOPUS WEB SOLUTION INC"
"1442","0","Very Low","True","hosting","SureHosting Internet Solutions, Inc."
"2611","0","Very Low","True","education","BELNET"
"3223","0.0006","Low","True","hosting","Voxility LLP"
"3396","0","Very Low","False","","US | EGG - T G & A"
"3502","0","Very Low","False","","US | INTNET"
"3561","0","Very Low","True","isp","CenturyLink Communications, LLC"
"3563","0","Very Low","False","","US | PILOT-ASN - Pilot Network Services, Inc,US"
"3700","0","Very Low","True","isp","Cloud 9 Internet, Inc."
"3722","0","Very Low","False","","Tranquil Hosting, Inc."
"3791","0","Very Low","True","business","Ascension Technologies"
"3842","0.0007","Low","True","hosting","InMotion Hosting, Inc."
"3904","0","Very Low","False","","US | ASTHOUGHTPRT - ThoughtPort inc., US"
"4250","0","Very Low","False","","ALENT-ASN-1 - Alentus Corporation, US"
"4323","0","Very Low","False","","TWTC - tw telecom holdings, inc., US"
"4640","0","Very Low","False","","AT | The Internetworking Corporation, Hong Kong"
"4694","0","Very Low","True","hosting","IDC Frontier Inc."
"4851","0","Very Low","True","hosting","HOST NETWORKS"
"5041","0","Very Low","False","","AS-CLOUDKLEYER - cloudKleyer Canada Corp., CA"
"5541","0","Very Low","True","business","INVITE Systems SRL"
"5577","0","Very Low","True","hosting","root SA"
"5755","0","Very Low","True","business","SIAM"
"5784","0","Very Low","False","","US | GETNET - Getnet International, US"
"6188","0","Very Low","False","","VPS Datacenter, LLC"
"6218","0","Very Low","False","","US | MIBX - MIBX, Inc., US"
"6364","0.0003","Very Low","True","hosting","Atlantic.net, Inc."
"6428","0","Very Low","True","business","CDM"
"6560","0","Very Low","False","","ZA | GEM Internet Company (Pty) LTD"
"6603","0","Very Low","False","","US | CottonWood CyberVentures"
"6696","0.0001","Very Low","True","isp","VERIXI SA"
"6718","0.0025","Low","True","isp","NAV COMMUNICATIONS SRL"
"6724","0.0007","Low","True","hosting","Strato GmbH"
"6729","0","Very Low","True","hosting","DEMENIN B.V."
"6870","0.002","Low","True","isp","RECONN LLC"
"6939","0.0012","Low","True","isp","Hurricane Electric LLC"
"7052","0","Very Low","False","","US | Hi-Tech Services, Inc."
"7156","0","Very Low","False","","BR | AGATE2 - Agate Internet Services, Inc.,US"
"7158","0","Very Low","False","","US | NETFEED-AS - NetEx Online Services, US"
"7203","0.0005","Very Low","True","hosting","Leaseweb USA, Inc."
"7259","0","Very Low","False","","US | net.Genesis Corp"
"7289","0","Very Low","False","","US | Platinum Internet Group"
"7309","0","Very Low","False","","US | The Virtual Marketing Corporation"
"7337","0","Very Low","False","","US | Southern NJ Internet Providers"
"7349","0","Very Low","True","hosting","TierPoint, LLC"
"7455","0","Very Low","True","banking","Motorists Mutual Insurance Company"
"7489","0.0007","Low","True","hosting","HostUS"
"7506","0.0009","Low","True","hosting","GMO Internet Group, Inc."
"7544","0","Very Low","False","","US | COMCLARK-IXG ComClark Network & Technology Corp,PH"
"7595","0.0003","Very Low","True","hosting","Readyspace Network Pte Ltd"
"7598","0","Very Low","False","","Websense Hosted Security - AsiaPac region"
"7655","0","Very Low","False","","US | TWNAP-ADMIN-AS-AP Peering AS,TW"
"7827","0","Very Low","False","","US | American Business Information"
"7850","0","Very Low","True","isp","Tarakona Networks, LLC"
"7880","0","Very Low","False","","AT | NEURAL-AS - Neural Applications,US"
"7883","0.0005","Very Low","True","business","Fleettel INC."
"7907","0","Very Low","False","","US | Networldtron Corp"
"7918","0","Very Low","False","","US | Larkom"
"7979","0.0002","Very Low","True","hosting","Servers.com, Inc."
"8075","0.0002","Very Low","True","hosting","Microsoft Corporation"
"8095","0","Very Low","True","business","LightStack Global LLC"
"8100","0.0002","Very Low","True","hosting","QuadraNet Enterprises LLC"
"8219","0.002","Low","True","business","Inna Grigorevna Khoruzhaya"
"8368","0.0001","Very Low","True","isp","Destiny N.V"
"8455","0.0002","Very Low","True","isp","atom86 BV"
"8477","0.0002","Very Low","True","business","Echostar Studio Sp. z o.o."
"8556","0","Very Low","False","","Levantis Hosting GmbH"
"8560","0.002","Low","True","hosting","IONOS SE"
"8972","0.0003","Very Low","True","hosting","Host Europe GmbH"
"9009","0.0024","Low","True","isp","M247 Europe SRL"
"9166","0","Very Low","True","business","Cegeka NV"
"9290","0.0002","Very Low","True","hosting","GoHosting"
"9370","0.0003","Very Low","True","hosting","SAKURA Internet Inc."
"9412","0","Very Low","False","","Hostworks Content Delivery System"
"9667","0","Very Low","True","isp","5G NETWORK OPERATIONS PTY LTD"
"9683","0","Very Low","True","government","SFMC AS KR"
"9823","0","Very Low","True","business","Pearson Australia Group Pty Ltd"
"9925","0","Very Low","True","hosting","VDC Powerbase Hong Kong Data Centers Limited"
"10114","0","Very Low","False","","CN | ASIANET-AP PT.Medialintas Antar Buana, ID"
"10122","0","Very Low","True","hosting","NETSTAR (SG) PTE. LTD."
"10123","0","Very Low","True","business","Flytxt Mobile Solutions Pvt Ltd"
"10200","0","Very Low","True","business","The Digital Lab 2007 Limited"
